"WardCode","WardName","borough","NESW","AreaSqKm","lon","lat","IncomeScor","LivingEnSc","NoEmployee","GrenSpace","PopDen","BornUK","NotBornUK","NoCTFtoH","NoDwelling","NoFlats","NoHouses","NoOwndDwel","MedHPrice"
"E05000569","Wallington North","Sutton","South",1.6,-0.150872,51.367218,0.1,28.36,3200,19.9,6687.5,8884,1766,4.9,4707,2026,2723,3114,194995
"E05000570","Wallington South","Sutton","South",1.7,-0.149927,51.354548,0.13,37.91,3100,9.5,6029.4,8309,1891,20.8,4573,2506,2120,2870,219750
"E05000571","Wandle Valley","Sutton","South",2.1,-0.165194,51.384948,0.21,26.03,2300,40.5,5571.4,9329,2301,0.3,4799,1612,3190,2429,186025
"E05000572","Worcester Park","Sutton","South",2,-0.232258,51.380171,0.08,20.69,2700,22.3,5875,9154,2501,9.3,4751,1025,3726,3607,260950
"E05000573","Bethnal Green North","Tower Hamlets","East",0.8,-0.057485,51.53123,0.32,45.38,4700,6.1,17250,8384,5299,2.3,5404,4886,564,1250,275000
"E05000574","Bethnal Green South","Tower Hamlets","East",0.9,-0.056623,51.523423,0.34,41.5,3300,16.9,15833.3,7722,6444,1.8,5326,4824,593,1169,245000
"E05000575","Blackwall and Cubitt Town","Tower Hamlets","East",3,-0.006562,51.500038,0.29,26.24,20900,42.2,6550,10007,9454,17.7,9350,8287,1102,2479,333000
"E05000576","Bow East","Tower Hamlets","East",1.9,-0.026589,51.536819,0.31,37.54,5700,30.3,7842.1,10209,4572,1.7,6877,5643,1258,1710,240875
"E05000577","Bow West","Tower Hamlets","East",1.3,-0.037043,51.531382,0.29,39.21,2500,43,10038.5,8800,4139,7.4,5103,3508,1619,1658,289000
"E05000578","Bromley-by-Bow","Tower Hamlets","East",1.1,-0.01645,51.523436,0.4,40.1,3600,11.7,13272.7,8185,6295,1.4,5232,4643,614,954,240000
"E05000579","East India and Lansbury","Tower Hamlets","East",1.2,-0.010197,51.51536,0.44,34.63,2600,12.5,12458.3,8987,5872,1.4,5401,4518,904,1123,233750
"E05000580","Limehouse","Tower Hamlets","Central",1.1,-0.02638,51.511305,0.36,36.87,3800,23.4,14636.4,8985,7001,10.6,6542,6004,595,1771,275000
"E05000581","Mile End and Globe Town","Tower Hamlets","East",0.9,-0.044976,51.526217,0.31,35.99,7400,12.4,16944.4,9018,6172,2.1,5363,4626,805,1455,249999
"E05000582","Mile End East","Tower Hamlets","East",1.1,-0.02873,51.521393,0.39,40.08,3300,33.4,12227.3,7551,5803,1.3,4809,4217,639,882,237000
"E05000583","Millwall","Tower Hamlets","Central",2.5,-0.021995,51.497505,0.2,22.05,106200,35,9320,11046,12038,25,11986,10457,1578,3226,340000
"E05000584","St Dunstan's and Stepney Green","Tower Hamlets","East",1,-0.04341,51.517002,0.42,38.55,2600,21.2,16350,9772,6466,5.2,5772,4381,1462,1428,272000
"E05000585","St Katharine's and Wapping","Tower Hamlets","Central",1.5,-0.064064,51.506744,0.22,33.15,14900,37,8366.7,7264,5147,29.6,6417,5653,784,2486,379250
"E05000586","Shadwell","Tower Hamlets","Central",1,-0.049486,51.511145,0.37,41.46,3200,24.2,15250,8292,6818,15.4,6035,5580,495,1565,320000
"E05000587","Spitalfields and Banglatown","Tower Hamlets","Central",0.6,-0.07166,51.519029,0.35,42.35,23700,1.4,17250,5074,5212,13.4,4074,3595,528,1052,380000
"E05000588","Weavers","Tower Hamlets","East",0.8,-0.070173,51.526181,0.33,48.43,3600,15,16625,7759,5447,1.6,5640,4948,748,1414,326500
"E05000589","Whitechapel","Tower Hamlets","Central",0.9,-0.062221,51.515498,0.33,46.5,21100,5.4,16611.1,7607,7255,10.5,6048,5501,577,1313,310000
"E05000590","Cann Hall","Waltham Forest","East",0.9,0.011901,51.5572,0.28,39.8,1500,5,15444.4,7060,6739,0.1,5066,1916,3178,1977,215000
"E05000591","Cathall","Waltham Forest","East",1.1,0.000286,51.556492,0.3,43.25,1400,22.6,11590.9,6336,6364,0,4607,1979,2655,1305,232500
"E05000592","Chapel End","Waltham Forest","East",1.8,-0.011984,51.597293,0.21,42.91,3600,31.2,7861.1,8888,5198,0,5161,1464,3720,3009,239250
"E05000593","Chingford Green","Waltham Forest","North",3.7,0.005254,51.635791,0.15,26.89,3200,54.9,2797.3,8942,1345,15.9,4564,1562,3008,3116,273748
"E05000594","Endlebury","Waltham Forest","North",2,-0.009566,51.626939,0.15,21.57,1100,18.5,5400,8857,1873,10.3,4270,1134,3138,3150,286500
"E05000595","Forest","Waltham Forest","East",2,0.003063,51.576876,0.21,51.85,6000,40.4,6350,6842,5767,2.8,4379,1761,2687,2248,250000
"E05000596","Grove Green","Waltham Forest","East",0.9,-0.004277,51.563621,0.2,55.61,900,4.3,16333.3,6860,7744,0,5313,2555,2777,2403,212000
"E05000597","Hale End and Highams Park","Waltham Forest","East",2.3,0.004903,51.602428,0.19,33.06,5300,41.4,4956.5,8879,2476,4.9,4284,1085,3201,2846,275500
"E05000598","Hatch Lane","Waltham Forest","East",2.4,0.009675,51.617235,0.22,30.76,1500,37.7,4645.8,9235,1823,8.3,4586,1397,3200,2854,242500
"E05000599","High Street","Waltham Forest","North",3.1,-0.044604,51.580447,0.23,59.43,3300,56.4,4580.6,7849,6278,0,5594,3263,2360,2685,217250
"E05000600","Higham Hill","Waltham Forest","North",3.2,-0.037389,51.597645,0.32,48.67,3000,56.7,4140.6,7872,5322,0,4942,1700,3247,2096,191375
"E05000601","Hoe Street","Waltham Forest","East",1.1,-0.014006,51.583595,0.27,54.07,2500,10.6,12727.3,7963,5949,0.3,5491,3413,2096,2191,250000
"E05000602","Larkswood","Waltham Forest","East",2.1,-0.009745,51.61426,0.21,25.95,2100,31.4,5428.6,8861,2476,1.4,4538,1155,3392,3072,250000
"E05000603","Lea Bridge","Waltham Forest","East",2.6,-0.032471,51.568408,0.26,57.65,4900,40.1,6057.7,7772,7899,0.1,5614,2839,2887,2572,201500
"E05000604","Leyton","Waltham Forest","East",2,-0.015976,51.561861,0.31,51.65,4900,27.1,7125,7258,6926,0.1,5282,2917,2386,1787,198000
"E05000605","Leytonstone","Waltham Forest","East",1.3,0.008964,51.569155,0.19,47.76,3400,5.8,9961.5,7391,5488,3.7,4939,2724,2256,2232,249998
"E05000606","Markhouse","Waltham Forest","East",1.5,-0.030473,51.576979,0.29,45.55,1700,29,9133.3,7384,6252,0.1,4968,1821,3159,2174,220000
